ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Dosage,Cost per KG,Delivery Status
3441,110-ZM-T01,Pre-PQ Process,SCMS-31390,ASN-3508,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/2/2008,2009-03-18,2009-03-18,18-Mar-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,5500,395945.0,71.99,0.72,Inverness Japan,True,1624.0,12646.15,776.05,,7.787038177339901,On-Time
420,108-VN-T01,Pre-PQ Process,SCMS-19490,ASN-1753,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/2008,2008-06-03,2008-06-03,3-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,Tablet,30,8400,96432.0,11.48,0.38,Mylan (formerly Matrix) Nashik,True,654.0,4051.34,154.29,600mg,6.194709480122325,On-Time
8864,109-TZ-T01,Pre-PQ Process,SCMS-36490,ASN-3170,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,12/30/2008,2009-02-23,2009-02-23,23-Feb-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,12500,513750.0,41.1,0.34,ABBVIE Ludwigshafen Germany,True,3088.0,12937.16,1006.95,200/50mg,4.189494818652849,On-Time
1359,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-782,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/4/2007,2007-10-15,2007-10-15,15-Oct-07,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,Tablet - FDC,60,3000,40500.0,13.5,0.22,"Aurobindo Unit III, India",True,332.0,4454.62,64.8,150/300/200mg,13.417530120481928,On-Time
2499,112-NG-T01,Pre-PQ Process,SCMS-42830,ASN-3984,Nigeria,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,4/1/2009,2009-05-20,2009-05-20,20-May-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,73,3000.3,41.1,0.34,ABBVIE Ludwigshafen Germany,True,69.0,1332.43,5.88,200/50mg,19.31057971014493,On-Time
2947,108-VN-T01,Pre-PQ Process,SCMS-14930,ASN-1231,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/5/2007,2008-01-22,2008-01-22,22-Jan-08,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 15mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,400,600.0,1.5,0.02,"Aurobindo Unit III, India",True,83.0,2426.05,0.96,15mg,29.22951807228916,On-Time
9676,108-VN-T01,Pre-PQ Process,SCMS-20541,ASN-1793,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/10/2008,2008-07-18,2008-06-02,2-Jun-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,Tablet,30,2016,27538.56,13.66,0.46,Mylan (formerly Matrix) Nashik,True,122.0,2867.81,44.06,300mg,23.506639344262293,On-Time
10298,104-CI-T01,Pre-PQ Process,SCMS-39430,ASN-3761,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/24/2009,2009-05-14,2009-05-14,14-May-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,1500,105000.0,70.0,0.7,Inverness Japan,True,341.0,9749.73,205.8,,28.59158357771261,On-Time
9255,108-VN-T01,Pre-PQ Process,SCMS-77,ASN-56,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-10-03,2006-10-03,3-Oct-06,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,Tablet,60,1000,44500.0,44.5,0.74,"Aurobindo Unit III, India",True,91.0,7878.06,,300mg,86.57208791208792,On-Time
9316,102-NG-T01,Pre-PQ Process,SCMS-694,ASN-582,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/6/2007,2007-08-06,2007-08-06,6-Aug-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,3500,280000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,1192.0,10879.22,448.0,,9.126862416107382,On-Time
3507,133-NG-T01,Pre-PQ Process,SCMS-33830,ASN-3231,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/20/2008,2009-02-05,2009-02-05,5-Feb-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,5259,420720.0,80.0,0.8,Inverness Japan,True,1584.0,22775.45,824.61,,14.378440656565656,On-Time
9499,107-RW-T01,Pre-PQ Process,SCMS-14730,ASN-1067,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/3/2007,2008-01-03,2008-01-03,3-Jan-08,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,Tablet,30,48259,567043.25,11.75,0.39,"Aurobindo Unit III, India",True,4143.0,19088.86,907.27,600mg,4.60749698286266,On-Time
1628,110-ZM-T01,Pre-PQ Process,SCMS-18030,ASN-1619,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/2008,2008-05-14,2008-05-14,14-May-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,6040,193280.0,32.0,1.6,"Trinity Biotech, Plc",True,2052.0,24689.0,309.25,,12.03167641325536,On-Time
6253,139-NA-T01,Pre-PQ Process,SCMS-37070,ASN-3490,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/14/2009,2009-03-13,2009-03-13,13-Mar-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,700,22400.0,32.0,1.6,"Trinity Biotech, Plc",True,236.0,6862.01,43.9,,29.076313559322035,On-Time
6488,123-NG-T01,Pre-PQ Process,SCMS-43910,ASN-4959,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/10/2009,2009-10-27,2009-10-27,27-Oct-09,ACT,ACT,MISSIONPHARMA A/S,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",Artemether/Lumefantrine,Coartem,Tablet - FDC + blister,540,2000,70420.0,35.21,0.07,"Novartis Pharma Suffern, USA",True,10.0,14515.44,138.02,20/120mg,1451.544,On-Time
8554,110-ZM-T01,Pre-PQ Process,SCMS-25710,ASN-2843,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/20/2008,2008-11-18,2008-11-18,18-Nov-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,Test kit,25,500,10000.0,20.0,0.8,"Standard Diagnostics, Korea",True,157.0,1754.04,19.6,,11.172229299363057,On-Time
